ན་སིད་དྷི་,ན་སིད་དྷི་
ཤ་,།བག་
ཧྲཱོཾ་ཧཱུྃ་,ཧྲཱོཾ་ཧཱུྃ་
པས་པཱུརྞ་,པས་པཱུརྞ་
མ་ཧེ་བྷ་,མ་ཧེ་བྷ་
གིས་མཅོད་,གིས་མཆོད་
གྱུར་ཅིང༌སྣ་,གྱུར་ཅིང་སྣ་
ཏ་ཡཀྵཱི་,ཏ་ཡཀྵཱི་
བྲང་བྲེདང་,བྲང་བྲེད་
ལེགས་འདུལ་་གང་,ལེགས་འདུལ་གང་
་ཞལ་,ཞལ་
མུ་ཧཱུྃ་,མུ་ཧཱུྃ་
་ཨོྃ)་,་
ཆོས།་མྱེད་,ཆོས། མྱེད་
དྷ་ནོོ་,དྷ་ནཽ་
ེའི་,ང་
གནྡྷ་,གནྡྷ་
དོ་དང༌།,དོ་དང་།
བུ་དང༌རིགས་,བུ་དང་རིགས་
ཧེ་དང༌།,ཧེ་དང་།
འདྲ་བས་ཌྷ་,འདྲ་བས་ཌྷ་
དེ་བྱེེ་,དེ་བྱཻ་
མི་སློང༌།,མི་སློང་།
མ་ཧཱུ།,མ་ཧཱུ།
བརྒྱད་དང༌།,བརྒྱད་དང་།
སི་ཧཱུྃ་,སི་ཧཱུྃ་
བཛྲ་བཛྲཾ་,བཛྲ་བཛྲྃ་
ཏཱ་ཡེེ་,ཏཱ་ཡཻ་
ྤུ་,ྦུ་
བྷཱིསྨ་,བྷཱིསྨ་
་པོ་,་པར་
ལ་གཱུ་,ལ་གཱུ་
ྱི་,་དང་ནི། །ཡི་
མ་ཚིམ་བྷོ།,མ་ཚིམ་བྷོ།
ཚེ་རིངརིག་,ཚེ་རིང་
པ་མེེ་,པ་མཻ་
པ་དང༌སྨོན་,པ་དང་སྨོན་
བནྔྷེ་ཧཱུྃ་,བནྔྷེ་ཧཱུྃ་
ཐེག་,རྟག་
གེ་བཞི་ད་,གེ་བཞི་པ་
ཨཱཪྱ་,ཨཱརྱ་
དག,ག
བྷུ་,བྷུ་
སྲུང་ངོ༌།,སྲུང་ངོ་།
སརྦ་དྷརྨ་,སརྦ་དྷརྨ་
ལོང་ཤིག།,ལོང་ཤིག
ཏོག་གྱི་,ཏོག་གི་
སུ་གྷོ་,སུ་གྷོ་
རྣམས་དཀུག་,རྣམས་དགུག་
གནས་ཀྱང༌།,གནས་ཀྱང་།
རྣམས་དུས་་བསྒྱུར་,རྣམས་དུས་བསྒྱུར་
གྱིས་བྱིན་ཀྱིས་བརླབས་,གྱིས་བརླབས་
ཧཱ་པྲ་བྷེ།,ཧཱ་པྲ་བྷེ།
ནང་)དུ་,དུ་
བ་མདེ་འུར་,བ་མདེའུར་
སོགས་དང༌།,སོགས་དང་།
སུ་རཱུ་,སུ་རཱུ་
ཆོས་,ནི། །ལས་
སྤུ་དང༌།,སྤུ་དང་།
བུདྷ་,བུདྷ་
དེའི་,ཇི་
ཧད་བྷྱཿ།,ཧད་བྷྱཿ།
ནམ་ཚོད་,ནམ་ཚོང་
ཏཱཀྵིཾ།,ཏཱཀྵིཾ།
རུ་བྷེེ་,རུ་བྷཻ་
རཀྟཱ་བ་བྷཱ་,རཀྟཱ་བ་བྷཱ་
འཕྲུལ་རྐང༌།,འཕྲུལ་རྐང་།
ལིན་དང༌།,ལིན་དང་།
ཡོད་ཅེས་ཅེས་བྱ་,ཡོད་ཅེས་བྱ་
བ་གཙིག་ས་,བ་གཙིགས་
ཁྲུ་ལྡར་,ཁྲུ་ལྔར་
ར་ཙཀྲ་དྷ་,ར་ཙཀྲ་དྷ་
ཡོང་,ཡང་
དྲན་ཞིང༌།,དྲན་ཞིང་།
ནི་ཧྲཱིཿ་ཧཱུྃ་,ནི་ཧྲཱིཿཧཱུྃ་
ཧེ་ཧྲཱིཿཕཊ་ༀ་,ཧེ་ཧྲཱིཿཕཊ་ཨོཾ་
རཾ་ཧཱུྃ་,རཾ་ཧཱུྃ་
པའི་ཐུཪ་,པའི་ཐུར་
ཡ་ཏྲོ་,ཡ་ཏྲཻ་
ཐིག་སྐུ་ད,ཐིག་སྐུད
ཙ་ཙ་ཀྵ།,ཙ་ཙ་ཀྵ།
)ཐོགས་,ཐོགས་
ཱ་ས་དྷུ་,ཱ་ས་དྷུ་
པའི་སྦྱོར་པ་,པའི་སྦྱོར་བ་
མཆོད་པར་,བར་
་བཛྲ་བྷཻ་,་བཛྲ་བྷཻ་
རཱི་ཧཱཾུ,རཱི་ཧཱུ
བ་གང་(ཡོ,བ་གང་ཡོ
བརྐྱང་དང༌།,བརྐྱང་དང་།
གར་ཧཱུྃ,གར་ཧཱུ
བེེར་,བཻར་
སྣོད་དང༌།,སྣོད་དང་།
ཨོྃ་བྷེ་ཪ་,ཨོྃ་བྷེ་ར་
"བཟོད་བླད,གླག་",བཟོད་བླག་
ནི་བེེཌཱུརྱའོ།,ནི་བཻ་ཌཱུརྱའོ།
སྟོངས་ཤིང༌།,སྟོངས་ཤིང་།
་ཁཿཧཱུྃ་,་ཁཿཧཱུྃ་
་ལ་དྷཱ་,་ལ་དྷཱ་
ག་ཏི་བྷྱཿསརྦྦས་,ག་ཏི་བྷྱཿསརྦྦས་
ྱ་སིདྡྷྱ་,ྱ་སིདྡྷྱ་
རབ་གྱི་,རབ་ཀྱི་
ཧཱ་་,ཧཱ་
ཛྷཱ་,ཛྷཱ་
ནི་རུནྡྷ།,ནི་རུནྡྷ།
དོང་ངོ༌།,དོང་ངོ་།
བཅོམ་,ཀྱིས་
ཤེས་རབ་གྱི་,ཤེས་རབ་ཀྱི་
སྦྱར་ཞིང༌།,སྦྱར་ཞིང་།
ག་ཛ་གྷ་,ག་ཛ་གྷ་
དེ་སྙེང་,དེ་སྙེད་
སློང་གང༌གང་,སློང་གང་གང་
བ་དང༌སྣམ་,བ་དང་སྣམ་
ཚོར་བའི་ཏའདྲེ་,ཚོར་བའི་འདྲེ་
བཅོ,གྲོ
ཐཱ་བྷཱུ་,ཐཱ་བྷཱུ་
བཟང་པོ་་་ཡུལ་,བཟང་པོ་ཡུལ་
གནོད་སྤྱིན་,གནོད་སྦྱིན་
གང་,།སྦྲང་
ཨོོ་,ཨཽ་
ཏཱ་བོ་དྷྱྃ་,ཏཱ་བོ་དྷྱྃ་
ུ་མེ་དྷུ་,ུ་མེ་དྷུ་
དའེི་,དའི་
ར༔དང་,རཿདང་
ལྡན་པ་བྷ་,ལྡན་པ་བྷ་
ོ་མེ་བྷ་,ོ་མེ་བྷ་
བརྒྱ་སྟོག་,བརྒྱ་སྟོང་
ཧཱ་མཱུརྟི་,ཧཱ་མཱུརྟི་
གལ་ཏེ་བྷ་,གལ་ཏེ་བྷ་
དུག་དང་དྷ་,དུག་དང་དྷ་
ཏེ་མཱུར,ཏེ་མཱུར
རཾ་སྭ་བྷཱ་,རཾ་སྭ་བྷཱ་
་ལྡན་,་ལ་
ཙྪིན་ྡ།,ཙྪིནྡ།
རུ་པྲ་དྷི་,རུ་པྲ་དྷི་
བད་ཙནྡྲེ་།,བད་ཙནྡྲེ།
སུ་ཀྵ་,སུ་ཀྵ་
’སྨྲས)པ།,པ།
བཻ་ཀྵ་,བཻ་ཀྵ་
གྲོལ་བའིཔའི་,གྲོལ་བའི་
ཡི་སྦྱོར་པ་,ཡི་སྦྱོར་བ་
སྤོས་དང༌།,སྤོས་དང་།
་ཊ་གྷ་,་ཊ་གྷ་
དྲ་རཀྵི་,དྲ་རཀྵི་
པོའི་,མཁའི་
ཀཱ་ཀྵི་,ཀཱ་ཀྵི་
་སཱུ་,་སཱུ་
པའི་དཔའ་,པའི་དབའ་
སྤྱོད་པའི་,སྤྱོད་པས་
་མངོན་,མངོན་
པ་ནི༌རབ་,པ་ནི་རབ་
ཤིན་ཏུ་ངུལ་,ཤིན་ཏུ་དུལ་
མིས་མཆོད་་པར་,མིས་མཆོད་པར་
སརྦ་བུད་དྷཱ་,སརྦ་བུད་དྷཱ་
བྱེད་ཅིང༌ཤེས་,བྱེད་ཅིང་ཤེས་
བཾ་ཧོཿ་བཛྲ་,བཾ་ཧོཿབཛྲ་
ཨཾ་ཨཿ་ཉི་,ཨཾ་ཨཿཉི་
་ཨཱཿཧཱུྃ་,་ཨཱཿཧཱུྃ་
པར་ཤེས་བསྟོང་,པར་ཤེས་པ་སྟོང་
ཨུད་དྷུ་,ཨུད་དྷུ་
སྙིང་ལྔ་།,སྙིང་ལྔ།
རྞ་ཀི་,རྞ་ཀཻ་
མ་བུདྡྷི།,མ་བུདྡྷི།
དྷྱ་བུད་དྷྱ།,དྷྱ་བུད་དྷྱ།
བདག་དང༌བདག་,བདག་དང་བདག་
མཁའ་དང༌།,མཁའ་དང་།
བཟོད་ན་་དེ་,བཟོད་ན་དེ་
མ་མེེ་,མ་མཻ་
ཟུག་དང༌།,ཟུག་དང་།
ཊིཊྚ་ཧཱུྃ་,ཊིཊྚ་ཧཱུྃ་
ཏ་ཐའ་,ཏ་ཐཱ་
ད་ཏྟ་ངྷཱ་,ད་ཏྟ་དྷཱ་
ཚེ་ཀོོ་,ཚེ་ཀཽ་
ཧཱུྃ་ཛ༔།,ཧཱུྃ་ཛཿ།
རི་ཀྵ་,རི་ཀྵ་
ཛ་ཧཱུྃ།,ཛ་ཧཱུྃ།
སརྦ་བཛྲ་དྷདྷ་,སརྦ་བཛྲ་དྷདྷ་
འདུ་ྃབྱེད་,འདུ་བྱེད་
ནོ་ཀྵེ།,ནོ་ཀྵེ།
ཤིང་དྷ་,ཤིང་དྷ་
ར་ཧ་བྷ་,ར་ཧ་བྷ་
ནི་ཚཪ་,ནི་ཚར་
ཀྱི་གཞུགས་,ཀྱི་གཟུགས་
རའ་,ྼཱྀ་
བྷད་ཏྲེ་བྷད་,བྷད་ཏྲེ་བྷད་
བར་་མ་,བར་མ་
བུ་དཔོས་,བུ་དབོས་
མི་བརྗེ,ཡེ
རྟག་པའ་,རྟག་པ་
་ཏིཥྛ་བྷ་,་ཏིཥྛ་བྷ་
ཅིང་གཙེགས་,ཅིང་གཙིགས་
བོས་ཀྱང༌།,བོས་ཀྱང་།
ཨཱ་གཙྪ་བྷ་,ཨཱ་གཙྪ་བྷ་
རཱི་གནྡྷ་,རཱི་གནྡྷ་
་ནྟེ།,ནྟེ།
རི་རཀྵ་,རི་རཀྵ་
མ་ཧཱ་དྷརྨ་,མ་ཧཱ་དྷརྨ་
བ་ཨ་བྷུ་,བ་ཨ་བྷུ་
ལ་སཾ་གྷ་,ལ་སཾ་གྷ་
ཐ་ཤུདྡྷི།,ཐ་ཤུདྡྷི།
བི་དྷྱན་,བི་དྷྱན་
ཏིཥྛ་སིདྡྷ་,ཏིཥྛ་སིདྡྷ་
གྲོས་དང༌།,གྲོས་དང་།
དབེན་དང༌།,དབེན་དང་།
བ་ན་།,བ་ན།
རྨ་སྐན་དྷ།,རྨ་སྐན་དྷ།
བ་,་
མོ་བཛྲ་དྷྭ་,མོ་བཛྲ་དྷྭ་
ནས་དང་བོ་,ནས་དང་པོ་
ཆན་དང༌།,ཆན་དང་།
ཤྲཱི་བྷ་,ཤྲཱི་བྷ་
སེམས་དཔའ་།ཆེན་,སེམས་དཔའ་ཆེན་
བདུད་དང༌།,བདུད་དང་།
རང་ཏུ་,རང་དུ་
ཀྱི་གདོང་,ཀྱི་
ཐུལ་དང༌།,ཐུལ་དང་།
རབ་འབྱོར༌གཞན་,རབ་འབྱོར་གཞན་
བྷཀྵ།,བྷཀྵ།
མ་ཡི་,མ་ཡཾ་
མི་ཁྱབ་྄བོ།,མི་ཁྱབ་བོ།
ཏན་དང༌།,ཏན་དང་།
ཡི་གེ་ཀྵ་,ཡི་གེ་ཀྵ་
བ་དང༌དབང་,བ་དང་དབང་
མ་བྱད་།,མ་བྱད།
སྒྲོག་ཅིང༌།,སྒྲོག་ཅིང་།
ན་བྱཱུ་,ན་བྱཱུ་
ཤི་བི་གྷུཥྚེ་,ཤི་བི་གྷུཥྚེ་
རི་ཙྱེེ།,རི་ཙྱཻ།
བ་དང༌རང་,བ་དང་རང་
དུརྦྷ་,དུརྦྷ་
སཱུརྱེ་,སཱུརྱེ་
ཧཱ་བྷེེ་,ཧཱ་བྷཻ་
སེ,ཤེ
ནི་བཻཌཱུ་,ནི་བཻཌཱུ་
ཊ་བྷཱི་,ཊ་བྷཱི་
ཙིར་ཚིམ་བྷོ།,ཙིར་ཚིམ་བྷོ།
སྐྱེས་མེད་།,སྐྱེས་མེད།
མ་ཧོ།ཨོྃ ཨོྃ་,མ་ཧོ། ཨོྃ་
ཨོ་རུ་བྷི་,ཨོ་རུ་བྷི་
ཡུ་རེ་དྷི་,ཡུ་རེ་དྷི་
གིས་སྟོང༌།,གིས་སྟོང་།
ལྔར་ཧཱུྃ་,ལྔར་ཧཱུྃ་
་ལས་,་ལ་
ཙྱཻ་གན་དྷ་,ཙྱཻ་གན་དྷ་
བིདྱཱ་ཙྪིནྡྷ་,བིདྱཱ་ཙྪིནྡྷ་
འདས་དང༌།,འདས་དང་།
གྱི་དཔུས་,གྱི་དབུས་
ལི་ཧཱུྃ་,ལི་ཧཱུྃ་
ལུ་ཧཱུཾ་,ལུ་ཧཱུཾ་
བ་ཤུད་དྷེ།,བ་ཤུད་དྷེ།
ལེ་མ་དྷེ།,ལེ་མ་དྷེ།
ཏི་སཱུཪྱ་,ཏི་སཱུརྱ་
ལ་ཨཿཧཱུྃ་,ལ་ཨཿཧཱུྃ་
ཧེ་ཧྲཱིཿༀ་,ཧེ་ཧྲཱིཿཨོཾ་
ཀྱི་ཧྲཱི༔ཉིད་,ཀྱི་ཧྲཱིཿཉིད་
དཱུརྱའི་,དཱུརྱའི་
ཀུཪྱ་,ཀུརྱ་
སངས་རྒྱས།་།,སངས་རྒྱས།།
ལ་ཧོ།་སུ་,ལ་ཧོ། སུ་
ྒྲུབ་,ོ། །འཇིམ་
མོ་ལྔ་།,མོ་ལྔ།
བུདྡྷ།,བུདྡྷ།
ཨ་རཱ་,ཨ་ཪྠ་
དང་ནི་བྷ་,དང་ནི་བྷ་
ཀུནྡྷ་,ཀུནྡྷ་
པྲཛྙཱ་དྷྀཀ །,པྲཛྙཱ་དྷྀཀ །
།ཀྵེ་,།ཀྵེ་
།ཀྵ་,།ཀྵ་
པོོ་,པཽ་
པདྨ་ཨ་བྷི་,པདྨ་ཨ་བྷི་
ཡུག་དང༌།,ཡུག་དང་།
མ་གཏོགས་་,མ་གཏོགས་
ྒྱད་ཀྱི་བྱེ་,་
ཅན་གང་དག་གནོད་,ཨ་
པུ་ཀྵ་,པུ་ཀྵ་
ཡ་ཧྲཱིཿཧཱུྃ་,ཡ་ཧྲཱིཿཧཱུྃ་
ུར།,།
འབྱོར༌དྲན་,འབྱོར་དྲན་
ཥིཀྟ་ཡེེ་,ཥིཀྟ་ཡཻ་
ཆེ་བཻཪཱུརྱ་,ཆེ་བཻརཱུརྱ་
བཞིན་བཤེགས་,བཞིན་གཤེགས་
‚ཆོས་)བསོད་,བསོད་
གྲངས་དང༌།,གྲངས་དང་།
ཨཱརྱཱ་པ་,ཨཱརྱཱ་བ་
བི་ཤུད་དྷེ།,བི་ཤུད་དྷེ།
ས་ཧཱོུཾ་,ས་ཧཱུྃ་
བཀྲ་དང༌།,བཀྲ་དང་།
།དྷ་,།དྷ་
ཀྵ་མེ་ཀྵ་,ཀྵ་མེ་ཀྵ་
བཛྲ་ཡཀྵ་,བཛྲ་ཡཀྵ་
་ཕུག་,ཕུག་
ན་ཀཱི་རྟིས་,ན་ཀཱིརྟིས་
ཏི་ནེེ་,ཏི་ནི་
ཡཙྪ་ཧཱུྃ།,ཡཙྪ་ཧཱུྃ།
ཧཱ་ད་བྷཱུ་,ཧཱ་ད་བྷཱུ་
པོའི་དཔའ་,པོའི་དབའ་
ལ་དཱུར་,ལ་དཱུར་
རྒྱུན་ཤེས་གྱི་,རྒྱུན་ཤེས་ཀྱི་
པྲེཀྵི་,པྲེཀྵི་
ལླེ་ཧྲཱིཿཧཱུྃ་,ལླེ་ཧྲཱིཿཧཱུྃ་
ང་བ་དེ་དག་གིས,ང་བས
མརྨེ་མརྨ་ཱ,མརྨེ་མརྨཱ
གི་ཡ,། །ཡ
ནི་སིན་དྷུའི་,ནི་སིན་དྷུའི་
སྟེ་འཆཪ་,སྟེ་འཆར་
མ་དང༌།,མ་དང་།
ཀྡྨཱིཾ་,ཀྵྨཱིཾ་
ལ་ནཱི,ལ་ནཱ
་ཚིནྡྷ་,་ཚིནྡྷ་
སུམྦྷ་ཧཱུྃ་,སུམྦྷ་ཧཱུྃ་
སྙོམས་དང༌།,སྙོམས་དང་།
་ཏྣ,ཏྣ
པཱུར་,པཱུར་
རྒྱན་དང༌།,རྒྱན་དང་།
ཅང་མི་་གསུང་,ཅང་མི་གསུང་
ནད་པའི་,ནད་པས་
བཱི་པྲ་བྷཱ་,བཱི་པྲ་བྷཱ་
ཆེན,དོན། །ན
ཨཱཿ་དེ་,ཨཱཿ། དེ་
བ་དང༌སྲུང་,བ་དང་སྲུང་
པར་རིགི་,པར་རིག་
ཛྙཱ་ན་ཀྵ་,ཛྙཱ་ན་ཀྵ་
ཀྱང་,ཉིད་
པཱུ་,པཱུ་
བྷིནྡ་,བྷིནྡ་
བྱ་བར་,བྱ་བ་
ཧཱ་བིགྷྣཱཾ་,ཧཱ་བིགྷྣཱཾ་
ཁ་སྤྱར་,ཁ་སྦྱར་
ྉྤིྉྤ,ྉྤྎྤ
མེ་ཡི་ༀ་,མེ་ཡི་ཨོཾ་
ལི་སྟམྦྷེ་,ལི་སྟམྦྷ་
འདི་སྙིད་,འདི་སྙེད་
དམིགས་ན་།,དམིགས་ན།
མཱ་ལཱ་བྷ་,མཱ་ལཱ་བྷ་
ཚོན་གྱ་ི,ཚོན་གྱི
བྱ་ཙཀྵུ་,བྱ་ཙཀྵུ་
ལཱ་གཱ་དྷཱ་,ལཱ་གཱ་དྷཱ་
འདྲེས་པ་་,འདྲེས་པ་
བས་བརྫོད་,བས་བརྗོད་
སྒྲ་དང༌།,སྒྲ་དང་།
ཆ་གཉེམས་,ཆ་གཉེམྶ་
ཏ་ཡཱ་གྷེ།,ཏ་ཡཱ་གྷེ།
མོ་ཨེཾེ་,མོ་ཨེཾ་
པ་སྤྱིན་,པ་སྦྱིན་
།་གལ་,།གལ་
རྣམས་དང༌།,རྣམས་དང་།
རྔུ་དང༌།,རྔུ་དང་།
འཛམ་བུ་་གླིང་,འཛམ་བུ་གླིང་
ཱ་རཱ་ལོ་,ཱ་རཱ་ཡོ་
ཐོར་གཙུག་ཀྱི་,ཐོར་གཙུག་གི་
དྷརྨ་སྭ་བྷཱ་,དྷརྨ་སྭ་བྷཱ་
པ་གཙུངས་,པ་གསུངས་
ནས་འབྱུར་,ནས་འབྱུང་
བྷེ་ནེེ་,བྷེ་ནཻ་
ཕྱི་ནང་ཏུ་,ཕྱི་ནང་དུ་
ར་ས་ཀྵ་,ར་ས་ཀྵ་
ཅིག་དང༌ང་,ཅིག་དང་ང་
གྲ་ཤུད་དྷེ།,གྲ་ཤུད་དྷེ།
ཕྱེད་དང༌།,ཕྱེད་དང་།
གཞན་དང༌།,གཞན་དང་།
མ་གྲུབ་གྱི་,མ་གྲུབ་ཀྱི་
་ཀྡིཾ,་ཀྵྞཱིཾ
བརྡ་དང༌།,བརྡ་དང་།
ཙེེ་,ཙཻ་
དུན་ྡ,དུནྡ
